id,slug,name,first_case_date,era,result,source
3f0322e1-9ae2-4240-88a5-3a15705bbdb5,john-corbly,John Corbly,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
502cc43e-ec49-4ed9-826c-a2386f7deb31,john-crawford,John Crawford,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
18b254f2-bfc0-4ab9-a8c0-fe47ac6e1864,john-flanagan,John Flanagan,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
95cb61e7-986c-4f7c-bb3d-cb3059cb20b3,john-gaston,John Gaston,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
8dce132c-30eb-4de7-a08a-052b2db42997,john-husy,John Husy,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
050c2434-c9f2-4f17-9cfb-9c6c9052ad07,john-laughery,John Laughery,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
b0558d7e-9a9a-4843-bc99-1b2921bb609d,john-mcgill,John McGill,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
8e61b97f-470a-404c-a51c-bc11247b0874,john-munn,John Munn,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
7bc12952-37f0-4e70-8b94-75d2f7306253,john-powers,John Powers,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
7365119a-d831-4c98-a413-5de45e73ca06,nathaniel-martin,Nathaniel Martin,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
fdd9e7dc-2d3a-4569-9fab-37fa5e8bcb4d,robert-martin,Robert Martin,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
e97ae208-3200-4d37-8662-fc6a8068eb20,robert-porter,Robert Porter,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
9911845b-a02c-4c85-a735-dec71c0d2673,thomas-mccomb,Thomas McComb,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
0d0d25d5-a0a7-4e75-85e5-5ce91d32fe72,thomas-sedgwick,Thomas Sedgwick,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
805af32c-0aaa-4825-99c8-896bbc4a96bf,william-crawford,William Crawford,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
0740a538-843b-4908-a24c-5a114eff6865,william-johnson,William Johnson,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
0113f410-207f-40e3-99be-c569e3541ea6,thomas-lapsley,Thomas Lapsley,1794-12-05,1700s,No verified usable image found in this search; not a claim none exists,
f4a2cf83-81c0-49e9-b337-712ce39a6808,caleb-mountz,Caleb Mountz,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
93f150cb-af49-4dc3-b4aa-ff16a8f20a8f,david-bolton,David Bolton,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
676793c2-1658-4d32-8e1f-f0ecb8e63021,isaac-walker,Isaac Walker,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
ed92d09f-d8b8-47a8-b83c-f599e5daf2e5,james-stewart,James Stewart,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
e37cbc6a-c4cb-4055-a165-d87f45d65c6f,john-barnett,John Barnett,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
743a00eb-717e-4314-9109-5bc07883c045,john-black,John Black,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
33fb7988-c331-4e7d-a5a6-d36e480d5d9d,joseph-posey,Joseph Posey,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
b701784a-dc06-409e-9e78-b7fefe12df4b,joseph-scott,Joseph Scott,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
9be99458-173c-4cdd-a0ef-9a8eb8d5ad7d,marmaduke-curtis,Marmaduke Curtis,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
48446f3a-8631-4146-9594-557e8fab9e2d,philip-vigol,Philip Vigol,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
56968f40-11e2-4a79-a765-957e39ef48ca,samuel-nye,Samuel Nye,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
35b66b5b-9a59-433e-a7ed-3c22b5787a7a,thomas-burney,Thomas Burney,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
34f97700-8feb-4748-b4cf-ee6e75307b1a,thomas-miller,Thomas Miller,1794-12-25,1700s,No verified usable image found in this search; not a claim none exists,
523cd5d9-cdd6-457b-b897-e42bcc851fdb,john-mitchell,John Mitchell,1795-01-19,1700s,No verified usable image found in this search; not a claim none exists,
e0d01b11-cc91-4ec0-9955-f0982e1fb1be,luther-baldwin,Luther Baldwin,1798-07-27,1700s,No verified usable image found in this search; not a claim none exists,
1dae1b4e-7b93-4234-950e-ecf6ba62fd97,thomas-adams,Thomas Adams,1798-10-01,1700s,No verified usable image found in this search; not a claim none exists,
b23d38bc-7bfa-4a26-ad9e-e6e390c57a5f,david-brown,David Brown,1798-11-01,1700s,No verified usable image found in this search; not a claim none exists,
a330e429-e7a4-43c4-b0b0-c574c77ab16e,ann-greenleaf,Ann Greenleaf,1799-01-01,1700s,No verified usable image found in this search; not a claim none exists,
e88216e0-2ea8-43df-97f7-e1ad5924c7eb,benjamin-moye,Benjamin Moye,1799-01-01,1700s,No verified usable image found in this search; not a claim none exists,
239948cf-c89c-42a0-8d64-49f07a05e857,conrad-fahnestock,Conrad Fahnestock,1799-01-01,1700s,No verified usable image found in this search; not a claim none exists,
4f822c04-5b75-4caf-ab5d-273ac68a9ce6,david-frothingham,David Frothingham,1799-01-01,1700s,No verified usable image found in this search; not a claim none exists,
d64132de-8050-4c7d-9e09-bbb399783542,abijah-adams,Abijah Adams,1799-02-01,1700s,No verified usable image found in this search; not a claim none exists,
11181b52-d312-408f-9839-4f4a895d1c8c,anthony-haswell,Anthony Haswell,1799-10-07,1700s,No verified usable image found in this search; not a claim none exists,
27c99c9e-1593-480d-b7d3-37bb351e7c76,charles-holt,Charles Holt,1800-01-01,1700s,verified image prepared,https://www.themagazineantiques.com/article/from-the-archives-freedom-in-miniature-mary-ways-coded-portrait-of-charles-holt/
45f6820a-bc1c-4d36-87d8-a2d159c9b471,william-durrell,William Durrell,1800-01-01,1700s,No verified usable image found in this search; not a claim none exists,
79d58f51-ca1b-466b-8f73-edbc13734e87,james-thompson-callender,James Thompson Callender,1800-05-24,1700s,No verified usable image found in this search; not a claim none exists,
0dd3aa84-8b65-4d98-a819-86634e50f2f5,john-s-lillie,John S. Lillie,1801-01-01,1700s,No verified usable image found in this search; not a claim none exists,
a65ed396-2a8a-400e-b5a7-670af6bcfe61,dominick-a-hall,Dominick A. Hall,1815-03-01,1800s,verified image prepared,https://www.lasc.org/bicentennial/justices/hall_dominick.html
f20254e7-31d3-4df2-970f-09113681f28b,john-dick,John Dick,1815-03-01,1800s,verified image prepared,https://www.laed.uscourts.gov/court-history/judges/dick
ada51c8a-aafe-40a8-827a-dd515e120b7f,louis-louaillier,Louis Louaillier,1815-03-01,1800s,No verified usable image found in this search; not a claim none exists,
64ff6f87-cf02-47ea-a1ab-73776a87845a,john-thompson,John Thompson,1831-03-14,1800s,No verified usable image found in this search; not a claim none exists,
bf7c23e9-2c3a-45dd-94f3-90a9627b1413,james-j-trott,James J. Trott,1831-05-29,1800s,No verified usable image found in this search; not a claim none exists,
6ac5e189-7bd1-4e70-a538-53f4e3945aae,elizur-butler,Elizur Butler,1831-07-07,1800s,No verified usable image found in this search; not a claim none exists,
9eb3b457-0e06-4638-88d0-df567ab334c9,william-mcleod,William McLeod,1831-07-08,1800s,No verified usable image found in this search; not a claim none exists,
17a1cca6-6639-4699-8bd1-e71b59d10bcb,austin-copeland,Austin Copeland,1831-09-15,1800s,No verified usable image found in this search; not a claim none exists,
afd0aa9a-0529-4412-9d10-d11c9e192c0c,benjamin-f-thompson,Benjamin F. Thompson,1831-09-15,1800s,No verified usable image found in this search; not a claim none exists,
bf2ef7b5-3735-4bd1-8071-40ad6bae842c,edward-delosier,Edward Delosier,1831-09-15,1800s,No verified usable image found in this search; not a claim none exists,
e5dfc42e-2cc0-4fd3-bbb9-ade18fbb16e3,james-a-thompson,James A. Thompson,1831-09-15,1800s,No verified usable image found in this search; not a claim none exists,
9b25d2f0-627e-4321-a596-0f5fc29491c3,john-f-wheeler,John F. Wheeler,1831-09-15,1800s,No verified usable image found in this search; not a claim none exists,
a0695f8f-f989-4912-9293-7ffcef54987e,samuel-mays,Samuel Mays,1831-09-15,1800s,No verified usable image found in this search; not a claim none exists,
ab44cfa6-c84c-4dda-976d-81143d081210,surry-eaton,Surry Eaton,1831-09-15,1800s,No verified usable image found in this search; not a claim none exists,
03346a93-8acb-4cdf-b2e7-debd71b56195,thomas-gann,Thomas Gann,1831-09-15,1800s,No verified usable image found in this search; not a claim none exists,
3adc0512-b4fd-4a6a-b79b-3e55af496e33,rutha-blackburn,Rutha Blackburn,1833-06-14,1800s,No verified usable image found in this search; not a claim none exists,
8902b69a-c40b-4401-abc0-0eadbdf57a0e,thornton-blackburn,Thornton Blackburn,1833-06-14,1800s,No verified usable image found in this search; not a claim none exists,
796c6ac8-7302-4bf8-a508-ff196f237aac,reuben-crandall,Reuben Crandall,1835-08-09,1800s,No verified usable image found in this search; not a claim none exists,
027f5fc8-c14c-4ce4-a007-11a9c8d81ce7,john-cross,John Cross,1843-01-01,1800s,verified image prepared,https://queeringtheburbs.substack.com/p/when-the-history-comes-right-to-your
bb0df033-1c99-4716-a29a-2e3db29d6f4e,anson-k-burrill,Anson K. Burrill,1845-01-01,1800s,No verified usable image found in this search; not a claim none exists,
a417355c-6694-4590-b06b-918eb20e4eb4,charles-t-mccumber,Charles T. McCumber,1845-01-01,1800s,No verified usable image found in this search; not a claim none exists,
759db340-8cbe-4046-96aa-e38f2dacde6a,lewis-knapp,Lewis Knapp,1845-01-01,1800s,No verified usable image found in this search; not a claim none exists,
df63d4f0-94b1-41a6-a394-65cf41f5099f,mark-caesar,Mark Caesar,1845-01-01,1800s,No verified usable image found in this search; not a claim none exists,
044902f4-2620-4641-b020-043bbdbb836d,silas-tompkins,Silas Tompkins,1845-01-01,1800s,No verified usable image found in this search; not a claim none exists,
e527e473-799f-4347-8f68-fe0e5c525fa4,william-wheeler,William Wheeler,1845-01-01,1800s,No verified usable image found in this search; not a claim none exists,
3457a195-7f3f-4b3c-9142-186515a9c608,calvin-madison,Calvin Madison,1845-08-01,1800s,No verified usable image found in this search; not a claim none exists,
a98e32b3-28b4-407b-8b4c-54ef9ea5f2f6,daniel-northrup,Daniel Northrup,1845-08-01,1800s,No verified usable image found in this search; not a claim none exists,
0a2657ba-7843-4897-b721-33f8f85600c3,daniel-w-squires,Daniel W. Squires,1845-08-01,1800s,No verified usable image found in this search; not a claim none exists,
95592211-ca81-4677-80d2-45ca6ad5f779,isaac-l-burhans,Isaac L. Burhans,1845-08-01,1800s,No verified usable image found in this search; not a claim none exists,
6bb147a8-ed3a-4d35-bf38-6d05806f127f,john-burtch,John Burtch,1845-08-01,1800s,No verified usable image found in this search; not a claim none exists,
d1ec7437-7a95-4793-942c-8d385e11b5d2,john-j-warner,John J. Warner,1845-08-01,1840s,No verified usable image found in this search; not a claim none exists,
2c58214f-b19d-446d-8069-11a47430a9c4,john-lathan,John Lathan,1845-08-01,1800s,No verified usable image found in this search; not a claim none exists,
526773fc-9d13-4e36-9a43-9a61cc834448,john-phoenix,John Phoenix,1845-08-01,1800s,No verified usable image found in this search; not a claim none exists,
dd3931e4-36df-42bb-9067-14a26788c2d8,william-brisbane,William Brisbane,1845-08-01,1800s,No verified usable image found in this search; not a claim none exists,
1176e00c-05a5-4547-ab22-b0cebbcdb690,william-joscelyn,William Joscelyn,1845-08-01,1800s,No verified usable image found in this search; not a claim none exists,
6a583bc4-84bb-4e91-8eaa-f51681384cb1,william-reside,William Reside,1845-08-01,1800s,No verified usable image found in this search; not a claim none exists,
7255298e-08ef-43b2-8256-aed9f16e1544,william-vroman,William Vroman,1845-08-01,1840s,No verified usable image found in this search; not a claim none exists,
1c6b17ad-f4bf-44ff-9f32-d3e356e6a671,zera-preston,Zera Preston,1845-08-01,1800s,No verified usable image found in this search; not a claim none exists,
93e7d6b8-f03b-48c2-9ab0-397e529dbc1b,john-van-steenburgh,John Van Steenburgh,1845-08-07,1800s,No verified usable image found in this search; not a claim none exists,
e06128a0-06c0-457a-9fe4-296caf7be545,moses-earle,Moses Earle,1845-08-07,1800s,No verified usable image found in this search; not a claim none exists,
ae5e261b-15ae-4b32-8473-02a72ff9f80f,luther-donnell,Luther Donnell,1847-01-01,1800s,No verified usable image found in this search; not a claim none exists,
934e08a9-23d5-4de0-9aae-e9ff53ab905e,john-riley,John Riley,1847-08-20,1800s,No verified usable image found in this search; not a claim none exists,
e560030d-e47b-4eaa-80b7-22aa4194ad02,john-hunn,John Hunn,1848-01-01,1800s,verified image prepared,https://history.delaware.gov/flight-to-freedom/people_hunn/
8e048b43-bdae-46a0-9893-87796951985e,edward-sayres,Edward Sayres,1848-04-18,1800s,No verified usable image found in this search; not a claim none exists,
78d4df29-ff0f-4b27-9a8c-851936bb0b33,shadrach-minkins,Shadrach Minkins,1851-02-15,1800s,No verified usable image found in this search; not a claim none exists,
13c185e7-7ca5-4e6f-b526-e5bca99f6895,isaac-gibson,Isaac Gibson,1851-03-01,1800s,No verified usable image found in this search; not a claim none exists,
5b17364e-c590-42d5-aa52-3bce4394945b,joseph-scarlett,Joseph Scarlett,1851-09-15,1800s,No verified usable image found in this search; not a claim none exists,
8d9fd8ce-e33b-41a5-93d5-11e50ca5f17b,enoch-reed,Enoch Reed,1851-10-10,1800s,No verified usable image found in this search; not a claim none exists,
09a28d53-7b35-481a-b12f-4924e2ac13e2,ira-cobb,Ira Cobb,1851-10-10,1800s,No verified usable image found in this search; not a claim none exists,
86cd9b8b-1d88-499d-855d-aa6978e2c643,john-j-roberts,John J. Roberts,1854-05-26,1850s,No verified usable image found in this search; not a claim none exists,
0919803b-4e88-41cd-bfe3-55136a908038,walter-bishop,Walter Bishop,1854-05-26,1850s,No verified usable image found in this search; not a claim none exists,
04381887-0610-4d26-ae59-a69bf41f19c1,walter-phoenix,Walter Phoenix,1854-05-26,1850s,No verified usable image found in this search; not a claim none exists,
5abfba2c-d5fc-45d3-988c-3eb777c9986e,john-c-cluer,John C. Cluer,1854-05-27,1850s,No verified usable image found in this search; not a claim none exists,
a1f75b9f-686f-46b9-9bc4-14d832bc7e7e,john-morrison,John Morrison,1854-05-27,1850s,No verified usable image found in this search; not a claim none exists,
0b801fad-03c1-47f7-a90f-d49172be5009,martin-stowell,Martin Stowell,1854-06-07,1800s,verified image prepared,https://history.nebraska.gov/wp-content/uploads/2017/11/doc_publications_NH1993Martin_Stowell.pdf
5d839cea-0149-45f9-bd48-fde51ffb88a4,oswell-wright,Oswell Wright,1857-01-01,1800s,No verified usable image found in this search; not a claim none exists,
b859afc8-424f-4093-9cc7-a0898973a914,hugh-hazlett,Hugh Hazlett,1858-01-01,1800s,No verified usable image found in this search; not a claim none exists,
2daf5a40-2d17-4f0e-bfd2-b30e34fc2067,william-baylis,William Baylis,1858-01-01,1800s,No verified usable image found in this search; not a claim none exists,
78e9422f-77a6-4f84-b436-f90b8b4250a5,william-e-lincoln,William E. Lincoln,1859-01-14,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
993a41b4-ed48-45f1-9dce-d60c7fa09d34,ansel-w-lyman,Ansel W. Lyman,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
1e858e4a-7aa9-4211-b150-11647d0a8fc5,daniel-williams,Daniel Williams,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
50e852a5-2a16-4153-a66d-c405f624e9b7,david-watson,David Watson,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
e5e9865c-f9cb-4b5c-aed1-0c6296615fc1,eli-boies,Eli Boies,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
21437a9a-5de7-49ac-9154-49280f031e6e,henry-e-peck,Henry E. Peck,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
9a06378b-655d-4c2a-8bbc-5b44b25c938d,henry-evans,Henry Evans,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
1f97dd68-9fc4-4d61-bbda-f586d7f6fd9e,jacob-r-shipherd,Jacob R. Shipherd,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
65d8ae6a-f675-4407-9d0a-d5997d0ea35a,james-bartlett,James Bartlett,1859-04-15,1800s,No verified usable image found in this search; not a claim none exists,
245efed8-8e1a-40d4-b7ec-014fd24752eb,james-m-fitch,James M. Fitch,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
d357e0b0-02be-4938-853b-91d4b19a6928,john-h-scott,John H. Scott,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
ed770d3e-9678-4e98-b4f2-26141520de34,john-watson,John Watson,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
8535e314-d5ea-41b5-bf6b-150facbcbacd,loring-wadsworth,Loring Wadsworth,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
4b658124-de7d-42e0-b652-1487ee694c22,matthew-gillett,Matthew Gillett,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
e4adb6c9-14b4-4091-8dbb-ea8190238985,orindatus-simon-bolivar-wall,Orindatus Simon Bolivar Wall,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
7c248ec9-e899-4117-bbc5-b8774a687de1,ralph-plumb,Ralph Plumb,1859-04-15,1800s,verified image prepared,https://commons.wikimedia.org/wiki/File:Ralph_Plumb_(1816%E2%80%931903).png
6f21e84e-f2c2-4600-b727-91ca8e555648,richard-winsor,Richard Winsor,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
85ac9cec-038e-467e-a293-7fa8526efb4f,simeon-bushnell,Simeon Bushnell,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
a5520977-bde2-4988-8253-81e0a48e6c66,wilson-bruce-evans,Wilson Bruce Evans,1859-04-15,1800s,verified image prepared,https://www.loc.gov/pictures/item/2003669978/
81002e9c-b8b9-438c-bfd8-9ccdff296815,robert-l-cummings,Robert L. Cummings,1859-05-05,1800s,No verified usable image found in this search; not a claim none exists,
63549bfe-2dd8-487d-bca1-e946631589b1,henry-d-niles,Henry D. Niles,1859-05-06,1800s,No verified usable image found in this search; not a claim none exists,
a95ec1b8-74b7-481c-bcf7-373604f04b70,john-mandeville,John Mandeville,1859-05-06,1800s,No verified usable image found in this search; not a claim none exists,
0d5a606b-7d1c-422f-9c7d-34e9757a37bb,abner-loveland,Abner Loveland,1859-05-12,1800s,No verified usable image found in this search; not a claim none exists,
1364e0fb-3f26-41c5-9c8b-624034ae3b1e,matthew-de-wolfe,Matthew De Wolfe,1859-05-12,1800s,No verified usable image found in this search; not a claim none exists,
ea58afcf-1e9c-409c-bdb4-97156c574e03,edward-t-sheldon,Edward T. Sheldon,1860-02-01,1800s,No verified usable image found in this search; not a claim none exists,
c6334b91-db8e-4691-997a-ad2039261aa2,george-armistead-appleton,George Armistead Appleton,1861-01-01,1800s,No verified usable image found in this search; not a claim none exists,
09f7cfa5-6106-477a-9ee4-fa2cf86a28cf,robert-douglas,Robert Douglas,1861-01-01,1800s,No verified usable image found in this search; not a claim none exists,
f8721d15-82e8-41fb-b161-f0cd438f096e,charles-d-hinks,Charles D. Hinks,1861-07-01,1800s,No verified usable image found in this search; not a claim none exists,
f84533dd-0bd4-4089-bf9c-e84242ec0ad3,charles-howard,Charles Howard,1861-07-01,1800s,No verified usable image found in this search; not a claim none exists,
992d98d6-be23-46f7-b4b9-dde657738299,john-w-davis,John W. Davis,1861-07-01,1800s,No verified usable image found in this search; not a claim none exists,
d4f092f1-987a-4301-93e0-ae7d72a9b7ba,william-h-gatchell,William H. Gatchell,1861-07-01,1800s,No verified usable image found in this search; not a claim none exists,
4a13077e-e64e-4a11-a06b-ac053cb587a5,charles-h-pitts,Charles H. Pitts,1861-09-01,1800s,No verified usable image found in this search; not a claim none exists,
49a0251c-b9f2-4d3a-b3c4-1acd9c4d3192,harkins-scott,Harkins Scott,1861-09-01,1800s,No verified usable image found in this search; not a claim none exists,
ba5218c0-76fa-4dbe-8e43-c80e84003b3e,henry-m-warfield,Henry M. Warfield,1861-09-01,1800s,No verified usable image found in this search; not a claim none exists,
