id,slug,name,birthdate_to_fill,death_date_to_fill,identity_evidence,sources
f83a38f3-243f-4735-8373-d9c1f86fe6d3,paul-robeson,Paul Robeson,1898-04-09,1976-01-23,"Singer, actor and civil-rights activist called before HUAC.",https://www.pbs.org/wnet/americanmasters/masters/paul-robeson/ | https://projects.latimes.com/hollywood/star-walk/paul-robeson/ | https://en.wikipedia.org/w/index.php?title=Paul_Robeson&oldid=1373583277
9485e3ed-aa4d-4ed4-a14c-5192f6093dd6,harold-i-cammer,Harold I. Cammer,1909-06-18,1995-10-21,Labor lawyer and National Lawyers Guild co-founder.,https://en.wikipedia.org/w/index.php?title=Harold_I._Cammer&oldid=1361802630
de45183f-ff15-43d1-8167-8edc0c832363,e-d-nixon,E. D. Nixon,1899-07-12,1987-02-25,"Pullman porter, union leader and Montgomery bus boycott organizer.",https://kinginstitute.stanford.edu/nixon-edgar-daniel | https://en.wikipedia.org/w/index.php?title=E._D._Nixon&oldid=1368741924
a9ed21d2-4a1b-47bc-8d99-01cde950fd7c,c-k-steele,C. K. Steele,,1980-08-19,Tallahassee minister and bus boycott organizer.,https://kinginstitute.stanford.edu/steele-charles-kenzie | https://en.wikipedia.org/w/index.php?title=Charles_Kenzie_Steele&oldid=1357571677
31614a6e-bacb-4467-b12e-b12f14b0f18b,abraham-flaxer,Abraham Flaxer,1904-09-12,1989-01-11,United Public Workers leader also known as Abram Flaxer.,https://en.wikipedia.org/w/index.php?title=Abram_Flaxer&oldid=1356089488
604a37dd-1683-4972-96b7-e0ed66cb6249,guy-carawan,Guy Carawan,1927-07-28,2015-05-02,Highlander musician associated with We Shall Overcome.,https://en.wikipedia.org/w/index.php?title=Guy_Carawan&oldid=1345375782
9970c3ac-06a8-4c98-8003-be44c4c35fa4,a-d-king,A. D. King,1930-07-30,1969-07-21,Baptist minister and younger brother of Martin Luther King Jr.,https://kinginstitute.stanford.edu/king-alfred-daniel-williams | https://en.wikipedia.org/w/index.php?title=Alfred_Daniel_King&oldid=1342587687
1845ecdf-d50a-4ab7-b6a7-2a788bfa4da8,medgar-evers,Medgar Evers,1925-07-02,1963-06-12,Mississippi NAACP field secretary and civil-rights organizer.,https://en.wikipedia.org/w/index.php?title=Medgar_Evers&oldid=1373036610
86aa6f36-1c07-48ae-bc72-999b77814396,james-farmer,James Farmer,1920-01-12,1999-07-09,CORE national director and Freedom Rides organizer.,https://kinginstitute.stanford.edu/farmer-james | https://en.wikipedia.org/w/index.php?title=James_Farmer&oldid=1373904367
4db8ee7a-c1dd-4f68-b8bd-bbeb86f3bd62,terry-pettus,Terry Pettus,1904-08-15,1984-10-06,Seattle reporter and Communist organizer.,https://en.wikipedia.org/w/index.php?title=Terry_Pettus&oldid=1348619618
d71997d0-01cc-4fbe-a959-58df0b90a0e6,norman-tallentire,Norman Tallentire,1886-10-10,1953-11-08,British-born Communist Party organizer in the United States.,https://en.wikipedia.org/w/index.php?title=Norman_Tallentire&oldid=1357424682
928b5a49-28b9-460a-afcf-d093f55f9b3d,mugo-gatheru,Mugo Gatheru,1925-08-21,2011-11-27,Kenyan author of Child of Two Worlds and Sacramento history professor.,https://www.legacy.com/obituaries/name/reuel-mugo-gatheru-obituary?pid=161273485 | https://en.wikipedia.org/w/index.php?title=Mugo_Gatheru&oldid=1372345971
755b1af7-0193-491d-b6d1-4d0843c111fe,connie-matthews,Connie Matthews,1943-08-03,,Jamaican-born Black Panther international coordinator.,https://en.wikipedia.org/w/index.php?title=Connie_Matthews&oldid=1370674652
fd2da9fc-b8b1-46c0-8c50-3ad713a205f1,thomas-a-r-nelson,Thomas A. R. Nelson,1812-03-19,1873-08-24,East Tennessee Unionist congressman detained by Confederate authorities.,https://en.wikipedia.org/w/index.php?title=Thomas_A._R._Nelson&oldid=1364808176
f2177fb3-70d9-46c8-9712-6237119f3dd5,pablo-manlapit,Pablo Manlapit,1891-01-17,1969-04-15,Filipino labor organizer active in Hawaii's plantation strikes.,https://en.wikipedia.org/w/index.php?title=Pablo_Manlapit&oldid=1371795284
9b862942-049d-473e-873a-19f2c1317623,ella-reeve-bloor,Ella Reeve Bloor,1862-07-08,1951-08-10,Labor organizer known as Mother Bloor.,https://en.wikipedia.org/w/index.php?title=Ella_Reeve_Bloor&oldid=1368421182
6fdb5476-302b-4ef7-8548-96ad15c938fb,vera-buch,Vera Buch,1895-08-19,1987-09-06,Union organizer also known as Vera Buch Weisbord.,https://en.wikipedia.org/w/index.php?title=Vera_Buch&oldid=1372244472
4127af8c-0978-4727-acba-c693675530bf,sam-darcy,Sam Darcy,,2005-11-08,"Communist organizer born Samuel Dardeck, also known as Samuel Adams Darcy.",https://en.wikipedia.org/w/index.php?title=Samuel_Adams_Darcy&oldid=1355877058
429b2fb0-e208-4dfd-b7aa-2b706a0ff7c7,elaine-black,Elaine Black,1906-09-04,1988-05-29,California labor organizer also known as Elaine Black Yoneda.,https://en.wikipedia.org/w/index.php?title=Elaine_Black_Yoneda&oldid=1371277221
9a7b77df-7723-46fd-979f-135816e6b696,louis-budenz,Louis Budenz,1891-07-17,1972-04-27,Labor activist and later anti-Communist writer Louis Francis Budenz.,https://en.wikipedia.org/w/index.php?title=Louis_F._Budenz&oldid=1371752546
68a20b65-75f1-4468-8513-8d36be7b2331,bill-gebert,Bill Gebert,1895-07-22,1986-02-13,"Polish-American Communist organizer Boleslaw Gebert, known as Bill.",https://en.wikipedia.org/w/index.php?title=Boles%C5%82aw_Gebert&oldid=1371890597
05e43761-8325-49ae-8bbe-937600efad40,josephine-johnson,Josephine Johnson,1910-06-20,1990-02-27,Pulitzer-winning novelist arrested while researching Arkansas sharecroppers.,https://en.wikipedia.org/w/index.php?title=Josephine_Johnson&oldid=1371217876
9b6bc006-1088-43b5-87dc-7df4fc11b7b0,charles-krumbein,Charles Krumbein,1889-02-10,1947-01-20,New York Communist district organizer.,https://en.wikipedia.org/w/index.php?title=Charles_Krumbein&oldid=1369709664
38d63dac-9266-4040-b2cd-6801e36fe29f,peter-van-schaack,Peter Van Schaack,,1832-09-17,New York Loyalist lawyer exiled during the American Revolution.,https://en.wikipedia.org/w/index.php?title=Peter_van_Schaack&oldid=1372669569
4a7b2298-9cd1-4775-86c8-bd428ec28f59,stephen-bingham,Stephen Bingham,1942-04-23,,Civil-rights lawyer tried and acquitted in the George Jackson case.,https://en.wikipedia.org/w/index.php?title=Stephen_Bingham&oldid=1363069108
fc126c89-5ae5-4ff1-8f75-503491e19dfc,john-l-spivak,John L. Spivak,1897-06-13,1981-09-30,Anti-fascist investigative journalist.,https://en.wikipedia.org/w/index.php?title=John_L._Spivak&oldid=1372723354
bd83e829-36e1-499f-8976-f0f2b47091de,hosea-williams,Hosea Williams,1926-01-05,2000-11-16,SCLC organizer and Georgia politician.,https://kinginstitute.stanford.edu/williams-hosea | https://en.wikipedia.org/w/index.php?title=Hosea_Williams&oldid=1362348330
79573662-60fd-4dc5-b863-325445559678,michael-zinzun,Michael ZinZun,1949-02-14,2006-07-09,Southern California Black Panther and anti-police-brutality organizer.,https://en.wikipedia.org/w/index.php?title=Michael_Zinzun&oldid=1336675738
17911205-898f-4081-a73c-1caee8b9fd08,rommie-loudd,Rommie Loudd,1933-06-08,1998-05-09,Former professional football player and Florida Blazers executive.,https://en.wikipedia.org/w/index.php?title=Rommie_Loudd&oldid=1369737812
82759280-80d1-4ac3-9341-189a666899b2,john-hossack,John Hossack,1806-12-06,1891-11-08,"Ottawa, Illinois abolitionist prosecuted under the Fugitive Slave Act.",https://www.lscgg.org/pdfs/LSCGG_GV_Mar-Apr2018.pdf | https://en.wikipedia.org/w/index.php?title=John_Hossack&oldid=1341447298
634e7675-f5d1-4abc-9c58-d3eabe365777,andrew-humphreys,Andrew Humphreys,1821-03-30,1904-06-14,Indiana politician and defendant in the Sons of Liberty military trial.,https://en.wikipedia.org/w/index.php?title=Andrew_Humphreys&oldid=1373214844
b37a14b8-e803-4083-87eb-7b3a653a51a4,john-j-ballam,John J. Ballam,1882-06-09,1954-09-26,English-born Communist Party founding member and labor organizer.,https://en.wikipedia.org/w/index.php?title=John_J._Ballam&oldid=1365713890
612705e8-e772-47eb-a71a-d6f675d8fd6d,harrison-george,Harrison George,1888-06-27,,Communist journalist and former IWW activist.,https://en.wikipedia.org/w/index.php?title=Harrison_George&oldid=1371667720
61f78db8-cc78-4d64-b859-9b62317210b1,clement-c-clay-jr,Clement C. Clay Jr.,1816-12-13,1882-01-03,Alabama senator and Confederate official detained after the Civil War.,https://en.wikipedia.org/w/index.php?title=Clement_Claiborne_Clay&oldid=1373181927
e9e90409-1960-4d7c-b1d3-4623efac6ea8,stephen-r-mallory,Stephen R. Mallory,,1873-11-09,Confederate secretary of the navy detained after the Civil War.,https://en.wikipedia.org/w/index.php?title=Stephen_Mallory&oldid=1348087073
a08720bd-24e5-4a59-a97a-9352678fc59c,samuel-austin-worcester,Samuel Austin Worcester,1798-01-19,1859-04-20,Missionary to the Cherokee and defendant in Worcester v. Georgia.,https://en.wikipedia.org/w/index.php?title=Samuel_Worcester&oldid=1372845939
ba72e24a-3f1e-4618-b58a-c59879c7380c,isabelo-de-los-reyes,Isabelo de los Reyes,1864-07-07,1938-10-10,"Filipino writer, politician and labor organizer.",https://en.wikipedia.org/w/index.php?title=Isabelo_de_los_Reyes&oldid=1373381062
390569ee-7e06-4f12-9d16-408f89d6a06a,dominador-gomez,Dominador Gómez,1866-11-04,1930-05-14,"Filipino physician, nationalist and labor leader.",https://en.wikipedia.org/w/index.php?title=Dominador_G%C3%B3mez&oldid=1370161877
f217c7f7-4b0d-443e-8b34-e1502f84b025,francisco-carreon,Francisco Carreón,1868-10-05,,Tagalog Republic official associated with Macario Sakay.,https://en.wikipedia.org/w/index.php?title=Francisco_Carre%C3%B3n&oldid=1366846216
6eabf9d4-9faa-4303-abe5-9eed8efb68eb,praxedis-g-guerrero,Práxedis G. Guerrero,1882-08-28,1910-12-30,Mexican anarchist journalist associated with the Partido Liberal Mexicano.,https://en.wikipedia.org/w/index.php?title=Pr%C3%A1xedis_Guerrero&oldid=1362028487
f634ff9c-51a4-458f-bc9f-75166e8a65ac,leon-czolgosz,Leon Czolgosz,1873-05-05,1901-10-29,The anarchist convicted of assassinating President William McKinley.,https://en.wikipedia.org/w/index.php?title=Leon_Czolgosz&oldid=1373586977
237805ef-6f77-4d2e-ad23-d4b61ee5ee0e,william-monroe-trotter,William Monroe Trotter,1872-04-07,1934-04-07,Boston civil-rights newspaper editor.,https://en.wikipedia.org/w/index.php?title=William_Monroe_Trotter&oldid=1372660209
c8466139-3df4-4ee5-b39e-9bd164424588,rose-winslow,Rose Winslow,1889-12-15,1934-04-16,Polish-American suffragist also known as Ruza Wenclawska and Rose Lyons.,https://en.wikipedia.org/w/index.php?title=Ruza_Wenclawska&oldid=1366377068
bd9c4999-c370-4050-903f-6ab07fb7da2e,eunice-dana-brannan,Eunice Dana Brannan,1854-08-27,,New York suffragist and wife of physician John Winters Brannan.,https://en.wikipedia.org/w/index.php?title=Eunice_Dana_Brannan&oldid=1355524064
fc36f477-807a-4f4c-9bf3-447c6551e4df,lucy-gwynne-branham,Lucy Gwynne Branham,1892-04-29,1966-07-18,National Woman's Party suffragist.,https://en.wikipedia.org/w/index.php?title=Lucy_Gwynne_Branham&oldid=1372235260
6816bb8f-73ad-4055-8290-0d6a766ef956,louise-bryant,Louise Bryant,1885-12-05,1936-01-06,Feminist journalist who reported on the Russian Revolution.,https://en.wikipedia.org/w/index.php?title=Louise_Bryant&oldid=1373786300
92e01aa2-be24-44a1-bb48-ccdc8afe3347,gertrude-crocker,Gertrude Crocker,1884-01-07,,National Woman's Party member and Silent Sentinel.,https://en.wikipedia.org/w/index.php?title=Gertrude_Crocker&oldid=1336345604
1956fc63-4a9d-42f3-839b-93d46a2f81d9,omali-yeshitela,Omali Yeshitela,1941-10-09,,"African People's Socialist Party founder, born Joseph Waller.",https://en.wikipedia.org/w/index.php?title=Omali_Yeshitela&oldid=1366218525
c27109fb-a491-4fe7-bc19-d2d53b2ea046,tommy-sheridan,Tommy Sheridan,1964-03-07,,Scottish socialist politician.,https://en.wikipedia.org/w/index.php?title=Tommy_Sheridan&oldid=1373862249
96a7e12d-b2a0-4f3f-a037-34cb9af81aae,stellan-vinthagen,Stellan Vinthagen,1964-10-13,,Swedish sociologist and nonviolent-action scholar-activist.,https://en.wikipedia.org/w/index.php?title=Stellan_Vinthagen&oldid=1328270858
9cccfa1a-2795-49bc-88b3-182662c6ca98,joan-little,Joan Little,1954-05-08,,North Carolina woman tried after killing a jail guard during an attempted sexual assault.,https://en.wikipedia.org/w/index.php?title=Joan_Little&oldid=1373147100
6655ef0e-2330-41bc-b4c2-9ac4bf644405,louisine-havemeyer,Louisine Havemeyer,1855-07-28,1929-01-06,"Art collector, philanthropist and National Woman's Party supporter.",https://en.wikipedia.org/w/index.php?title=Louisine_Havemeyer&oldid=1368131359
f9cbba47-2081-465e-ae29-f8d79d183019,elsie-hill,Elsie Hill,1883-09-23,1970-08-06,Suffragist and sister of Helena and Clara Hill.,https://en.wikipedia.org/w/index.php?title=Elsie_Hill&oldid=1359513715
8ca08b04-6b90-47dd-91f6-3f47bc74f674,hazel-hunkins,Hazel Hunkins,1890-06-06,1982-05-17,Suffragist also known as Hazel Hunkins Hallinan.,https://en.wikipedia.org/w/index.php?title=Hazel_Hunkins_Hallinan&oldid=1372396537
ad5f0a74-d0df-4961-8b9c-74bfd652756c,nell-mercer,Nell Mercer,1893-08-13,1979-09-30,National Woman's Party member and Silent Sentinel.,https://en.wikipedia.org/w/index.php?title=Nell_Mercer&oldid=1328386801
03138617-e140-426d-b5be-eb33f7faee45,dr-caroline-e-spencer,Dr. Caroline E. Spencer,1861-10-30,1928-09-16,Colorado physician and suffragist.,https://en.wikipedia.org/w/index.php?title=Caroline_Spencer_%28suffragist%29&oldid=1350369723
1cc6ce5a-6cc0-4ae4-982d-5fbd93452f73,iris-calderhead-walker,Iris Calderhead Walker,1889-01-03,1966-03-06,National Woman's Party organizer also known as Iris Calderhead.,https://en.wikipedia.org/w/index.php?title=Iris_Calderhead&oldid=1372251424
136749a6-18f2-4d8e-bfbb-85c60d2d4b0e,michael-j-audain,Michael J. Audain,1937-07-31,,Canadian homebuilder and art collector who participated in the Freedom Rides.,https://en.wikipedia.org/w/index.php?title=Michael_Audain&oldid=1372187716
f936496f-60aa-4347-a2b7-dd028347d672,jimmie-travis,Jimmie Travis,1942-10-08,2009-07-28,Mississippi civil-rights organizer and SNCC activist.,https://www.mississippi-umc.org/files/fileshare/2010msmethodistconferencejournalvol.1.pdf | https://www.crmvet.org/mem/travisj.htm
11f1e761-9ed6-4fc5-854d-c3c69f8c9623,william-e-harbour,William E. Harbour,1942-01-09,2020-08-27,"Tennessee State student and Freedom Rider from Piedmont, Alabama.",https://en.wikipedia.org/w/index.php?title=William_E._Harbour&oldid=1340027419 | https://en.wikipedia.org/w/index.php?title=William_Harbour&oldid=1023517111
be28819f-4e7e-41ea-9b43-63054601d5c6,david-j-dennis-sr,David J. Dennis Sr.,1940-10-17,,CORE Mississippi director and Freedom Rider Dave Dennis.,https://snccdigital.org/people/dave-dennis/ | https://en.wikipedia.org/w/index.php?title=David_Dennis&oldid=747546443
