action,status,source_url,note
PAUPERS PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
WHITE ROSE DISARMAMENT ACTION,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
TRANSFIGURATION PLOWSHARES (WEST),roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
TRANSFIGURATION PLOWSHARES (EAST),roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
HARMONIC DISARMAMENT FOR LIFE,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
AUSTRALIAN PLOWSHARES ACTION,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
NUCLEAR NAVY PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
KAIROS PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
KAIROS PLOWSHARES TOO,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
CREDO PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
DUTCH DISARMAMENT ACTION,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
NF-5B PLOWSHARES,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
STOP WEAPONS EXPORTS-PLOWSHARES 2,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
THAMES RIVER PLOWSHARES,roster_screened_one_unmatched_short_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,"Homer White unmatched, but only overnight detention before dropped charges. Others have candidate database matches; no new eligible person established."
PLOWSHARES ESKILTUNA,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
UPPER HEYFORD PLOWSHARES,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
DOVES OF PEACE DISARMAMENT ACTION,candidate_existing_match_suspended_sentence,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,"Susan Rodriguez has a candidate database match; this narrative records suspended imprisonment, not proven time served."
ANZUS PEACE FORCE PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
ARMS FACTORY PLOWSHARES,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
AEGIS PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
HARRIET TUBMAN-SARAH CONNOR BRIGADE DISARMAMENT ACTION,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
GOOD NEWS PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
JAS INTO PLOWSHARES,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
PAX CHRISTI-SPIRIT OF LIFE PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
ANARCHIST PLOWSHARES,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
GOOD FRIDAY- APRIL FOOLS DAY PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
SEEDS OF HOPE – EAST TIMOR PLOUGHSHARES,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
LAURENTIAN SHIELD TRIDENT ELF DISARMAMENT ACTION,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
PRINCE OF PEACE PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
