name,slug,first_case_date,image,source,identity_evidence
Berry Pottier,berry-pottier,1919-02-25,berry-pottier-chrono2026b.png,https://documents.alexanderstreet.com/d/1010016652,The original printed caption lists the women left to right. Subject is third from left. Berry Pottier appears as Betty Pottier in this caption; Jailed for Freedom and the Historical Journal of Massachusetts describe Berry in the same February 1919 Boston imprisonment.
Elise T. Russian,elise-t-russian,1919-02-25,elise-t-russian-chrono2026b.png,https://documents.alexanderstreet.com/d/1010016652,The original printed caption lists the women left to right. Subject is sixth from left. Berry Pottier appears as Betty Pottier in this caption; Jailed for Freedom and the Historical Journal of Massachusetts describe Berry in the same February 1919 Boston imprisonment.
Jessica Henderson,jessica-henderson,1919-02-25,jessica-henderson-chrono2026b.png,https://www.westfield.ma.edu/historical-journal/wp-content/uploads/2020/01/I-Want-to-Go-to-Jail.pdf,Journal caption explicitly identifies jessica henderson at far left in the February 1919 Boston protest. No identities marked as possible in the caption are used.
Martha Foley,martha-foley,1919-02-25,martha-foley-chrono2026b.jpg,https://irishboston.blogspot.com/2024/03/martha-foley-1897-1977-of-boston.html,"The article explicitly labels the illustration as Martha Foley and describes the writer/editor born in Boston in 1897, including her arrest at the 1919 suffrage protest. Replaces the rejected ambiguous crop from a group photograph."
Jesus Romo,jesus-romo,1919-06-09,jesus-romo-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/roberts-to-roy/,"Original newspaper portrait names Jesus Romo. The biography matches the Los Angeles IWW organizer arrested June 9, 1919 and deported to Mexico."
Józef Kowalski,jozef-kowalski,1919-09-01,jozef-kowalski-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/kovalsky-to-kozy/,"Original booking photograph names Joe Kowalski. The historian matches the Polish communist editor, 1890 Lodz birth, Kansas City 1919 arrest and 1921 deportation."
Dennis Batt,dennis-batt,1919-09-02,dennis-batt-chrono2026b.png,https://commons.wikimedia.org/wiki/File:Dennis_E._Batt_1924_Edit.png,Commons image description names Dennis E. Batt; biographical article identifies the Detroit Socialist/Communist editor who was arrested in 1919. Historical source halftone preserved.
Albert Giles,albert-giles,1919-10-01,albert-giles-chrono2026b.png,https://talkafricana.com/unveiling-the-elaine-massacre-of-1919-americas-bloodiest-mass-killing-of-black-americans/,Original newspaper caption explicitly identifies all twelve men left to right. Crop isolates albert giles. Joe Knox is the database J. E. Knox; William Wordlow is the database William Wordlaw. The group is independently documented by Encyclopedia of Arkansas and Arkansas State Archives. Original halftone is low resolution; no enhancement or interpolation applied.
Alfred Banks Jr.,alfred-banks-jr,1919-10-01,alfred-banks-jr-chrono2026b.png,https://talkafricana.com/unveiling-the-elaine-massacre-of-1919-americas-bloodiest-mass-killing-of-black-americans/,Original newspaper caption explicitly identifies all twelve men left to right. Crop isolates alfred banks jr. Joe Knox is the database J. E. Knox; William Wordlow is the database William Wordlaw. The group is independently documented by Encyclopedia of Arkansas and Arkansas State Archives. Original halftone is low resolution; no enhancement or interpolation applied.
Ed Coleman,ed-coleman,1919-10-01,ed-coleman-chrono2026b.png,https://talkafricana.com/unveiling-the-elaine-massacre-of-1919-americas-bloodiest-mass-killing-of-black-americans/,Original newspaper caption explicitly identifies all twelve men left to right. Crop isolates ed coleman. Joe Knox is the database J. E. Knox; William Wordlow is the database William Wordlaw. The group is independently documented by Encyclopedia of Arkansas and Arkansas State Archives. Original halftone is low resolution; no enhancement or interpolation applied.
Ed Hicks,ed-hicks,1919-10-01,ed-hicks-chrono2026b.png,https://talkafricana.com/unveiling-the-elaine-massacre-of-1919-americas-bloodiest-mass-killing-of-black-americans/,Original newspaper caption explicitly identifies all twelve men left to right. Crop isolates ed hicks. Joe Knox is the database J. E. Knox; William Wordlow is the database William Wordlaw. The group is independently documented by Encyclopedia of Arkansas and Arkansas State Archives. Original halftone is low resolution; no enhancement or interpolation applied.
Ed Ware,ed-ware,1919-10-01,ed-ware-chrono2026b.png,https://talkafricana.com/unveiling-the-elaine-massacre-of-1919-americas-bloodiest-mass-killing-of-black-americans/,Original newspaper caption explicitly identifies all twelve men left to right. Crop isolates ed ware. Joe Knox is the database J. E. Knox; William Wordlow is the database William Wordlaw. The group is independently documented by Encyclopedia of Arkansas and Arkansas State Archives. Original halftone is low resolution; no enhancement or interpolation applied.
Frank Hicks,frank-hicks,1919-10-01,frank-hicks-chrono2026b.png,https://talkafricana.com/unveiling-the-elaine-massacre-of-1919-americas-bloodiest-mass-killing-of-black-americans/,Original newspaper caption explicitly identifies all twelve men left to right. Crop isolates frank hicks. Joe Knox is the database J. E. Knox; William Wordlow is the database William Wordlaw. The group is independently documented by Encyclopedia of Arkansas and Arkansas State Archives. Original halftone is low resolution; no enhancement or interpolation applied.
Frank Moore,frank-moore,1919-10-01,frank-moore-chrono2026b.png,https://talkafricana.com/unveiling-the-elaine-massacre-of-1919-americas-bloodiest-mass-killing-of-black-americans/,Original newspaper caption explicitly identifies all twelve men left to right. Crop isolates frank moore. Joe Knox is the database J. E. Knox; William Wordlow is the database William Wordlaw. The group is independently documented by Encyclopedia of Arkansas and Arkansas State Archives. Original halftone is low resolution; no enhancement or interpolation applied.
J. E. Knox,j-e-knox,1919-10-01,j-e-knox-chrono2026b.png,https://talkafricana.com/unveiling-the-elaine-massacre-of-1919-americas-bloodiest-mass-killing-of-black-americans/,Original newspaper caption explicitly identifies all twelve men left to right. Crop isolates j e knox. Joe Knox is the database J. E. Knox; William Wordlow is the database William Wordlaw. The group is independently documented by Encyclopedia of Arkansas and Arkansas State Archives. Original halftone is low resolution; no enhancement or interpolation applied.
Joe Fox,joe-fox,1919-10-01,joe-fox-chrono2026b.png,https://talkafricana.com/unveiling-the-elaine-massacre-of-1919-americas-bloodiest-mass-killing-of-black-americans/,Original newspaper caption explicitly identifies all twelve men left to right. Crop isolates joe fox. Joe Knox is the database J. E. Knox; William Wordlow is the database William Wordlaw. The group is independently documented by Encyclopedia of Arkansas and Arkansas State Archives. Original halftone is low resolution; no enhancement or interpolation applied.
Paul Hall,paul-hall,1919-10-01,paul-hall-chrono2026b.png,https://talkafricana.com/unveiling-the-elaine-massacre-of-1919-americas-bloodiest-mass-killing-of-black-americans/,Original newspaper caption explicitly identifies all twelve men left to right. Crop isolates paul hall. Joe Knox is the database J. E. Knox; William Wordlow is the database William Wordlaw. The group is independently documented by Encyclopedia of Arkansas and Arkansas State Archives. Original halftone is low resolution; no enhancement or interpolation applied.
William Wordlaw,william-wordlaw,1919-10-01,william-wordlaw-chrono2026b.png,https://talkafricana.com/unveiling-the-elaine-massacre-of-1919-americas-bloodiest-mass-killing-of-black-americans/,Original newspaper caption explicitly identifies all twelve men left to right. Crop isolates william wordlaw. Joe Knox is the database J. E. Knox; William Wordlow is the database William Wordlaw. The group is independently documented by Encyclopedia of Arkansas and Arkansas State Archives. Original halftone is low resolution; no enhancement or interpolation applied.
David Maksimovich Elak-Berman,david-maksimovich-elak-berman,1919-11-01,david-maksimovich-elak-berman-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/elia-to-faggi/,"The historian explicitly names David Maksimovich Elak-Berman and matches his 1891 Minsk birth, McKees Rocks URW membership, 1919 Buford deportation and later Uruguay residence."
Efim Kolesnikov,efim-kolesnikov,1919-11-07,efim-kolesnikov-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/kirson-to-konosevich-bukovetsky/,"The historian explicitly identifies Efim Kolesnikov as the standing man in the center, and matches his 1880 Kursk birth, New York arrest and Buford deportation. Crop isolates that man’s head and shoulders."
Gerasim Tkachuk,gerasim-tkachuk,1919-11-07,gerasim-tkachuk-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/tataranovich-to-tori/,"The historian identifies the photograph as Tkachuk and his family and describes his wife Maria and three children. The sole adult man at right is cropped. His 1893 birth, Detroit November 7, 1919 arrest, and 1921 deportation match the entry."
Amy Colyer,amy-colyer,1920-01-01,amy-colyer-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/coacci-to-danilovich/,"Named photograph of Amy Colyer, nee Withall, British-born Communist arrested with husband William Thomas Colyer in January 1920."
Roberto Elia,roberto-elia,1920-01-01,roberto-elia-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/elia-to-faggi/,Named portrait of the Italian anarchist and printer arrested in New York with Andrea Salsedo in 1920.
Tilly Gerish,tilly-gerish,1920-01-01,tilly-gerish-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/geray-to-giusto/,Caption identifies Tilly Gerish in 1921; biography matches Philadelphia dressmaker arrested in January 1920.
Savely Roshkov,savely-roshkov,1920-02-12,savely-roshkov-chrono2026b.jpg,https://kenyonzimmer.com/red-scare-deportees/roberts-to-roy/,Historian identifies Savely Roshkov in photograph; biography matches Bridgeport URW machinist arrested in January 1920.
Ustin Manko,ustin-manko,1920-05-11,ustin-manko-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/makliarchuk-to-manninger/,Historian identifies Ustin Manko in the clipping from his INS case file; biography matches URW member arrested in Bridgeport in February 1920.
Jack Gaveel,jack-gaveel,1921-04-01,jack-gaveel-chrono2026b.png,https://www.ebay.com/itm/366291682752,"Photograph bears no. 34989. The accompanying original prison register identifies no.34989 as Jack Gaveel, criminal syndicalism, Los Angeles, April 1921. Kenyon Zimmer biography independently records the Dutch-born IWW member and his April 1921 imprisonment."
Fred W. Thompson,fred-w-thompson,1923-11-07,fred-w-thompson-chrono2026b.png,https://www.solidaridadobrera.org/ateneo_nacho/libros/Thompson%20%26%20Beken%20-%20IWW%2C%20first%20100%20years.pdf,"The caption identifies the two separate portraits as Fred Thompson and Jon Bekken, in that order. The left photograph is extracted intact. Thompson oral history at the Walter P. Reuther Library, LOH002314_OH_001, page 2 independently confirms entry into San Quentin November 7, 1923 and release March 7, 1927, matching this prisoner."
John Buksa,john-buksa,1925-01-01,john-buksa-chrono2026b.png,https://commons.wikimedia.org/wiki/File:John_Buksa_1926.jpg,"The original caption identifies John Buksa, Bellaire, Ohio miner, imprisoned under the West Virginia anti-sedition law and due for release in May 1926. This matches the Wheeling prosecution in this entry."
Jack Rubenstein,jack-rubenstein,1927-01-01,jack-rubenstein-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1927/v02n06-jun-1927-LD.pdf,"Portrait is individually captioned Jack Rubenstein within the article Jack Rubenstein and Whitey Adamchesky, describing his Passaic strike arrests and April 1927 sentence."
Joe Katz,joe-katz,1927-01-01,joe-katz-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1927/v02n11-nov-1927-LD.pdf,"The portrait is individually labeled with this prisoner name in the article on the Mineola prosecution of New York fur workers. The charge, union, location and year match this entry. For Samuel Mencher, this photograph supersedes the previously prepared June illustration."
Maurice Malkin,maurice-malkin,1927-01-01,maurice-malkin-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1927/v02n11-nov-1927-LD.pdf,"The portrait is individually labeled with this prisoner name in the article on the Mineola prosecution of New York fur workers. The charge, union, location and year match this entry. For Samuel Mencher, this photograph supersedes the previously prepared June illustration."
Oscar Mileaf,oscar-mileaf,1927-01-01,oscar-mileaf-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1927/v02n11-nov-1927-LD.pdf,"The portrait is individually labeled with this prisoner name in the article on the Mineola prosecution of New York fur workers. The charge, union, location and year match this entry. For Samuel Mencher, this photograph supersedes the previously prepared June illustration."
Otto Lenhart,otto-lenhart,1927-01-01,otto-lenhart-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1927/v02n11-nov-1927-LD.pdf,"The portrait is individually labeled with this prisoner name in the article on the Mineola prosecution of New York fur workers. The charge, union, location and year match this entry. For Samuel Mencher, this photograph supersedes the previously prepared June illustration."
Samuel Mencher,samuel-mencher,1927-01-01,samuel-mencher-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1927/v02n11-nov-1927-LD.pdf,"The portrait is individually labeled with this prisoner name in the article on the Mineola prosecution of New York fur workers. The charge, union, location and year match this entry. For Samuel Mencher, this photograph supersedes the previously prepared June illustration."
Stephen Zinich,stephen-zinich,1927-01-01,stephen-zinich-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1927/v02n10-oct-1927-LD.pdf,"The separate portrait page is captioned Stephen Zinich. The adjoining article identifies him as the Yugoslav-born editor of Radnik held for deportation, matching this entry."
William F. Dunne,william-f-dunne,1927-05-27,william-f-dunne-chrono2026b.jpg,https://commons.wikimedia.org/wiki/File:Dunne-bill.jpg,"The source identifies William F. Dunne, American Communist Party leader. His biography identifies the Daily Worker editor, the same position and newspaper as the entry for the 1927 obscenity prosecution."
Steve Kurepa,steve-kurepa,1927-08-22,steve-kurepa-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1927/v02n12-dec-1927-LD.pdf,"The drawing is individually captioned Steve Kurepa beside a description of the Cheswick defendant and his repeated imprisonment and beatings, matching this entry."
Adam Moleski,adam-moleski,1928-01-01,adam-moleski-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1928/apr-1928-LD.pdf,"Individually captioned Adam Moleski, another defendant in the same Bonita-Moleski-Mendola case."
Eli Keller,eli-keller,1928-01-01,eli-keller-chrono2026b.png,https://revolutionsnewsstand.com/2025/04/27/seven-hundred-strikers-on-trial-by-amy-schechter-from-labor-defender-vol-3-no-11-november-1928/,"The source caption identifies the four New Bedford strike leaders left to right as Eli Keller, Wm. Murdoch, Eulalia Mendes and Fred Beal. This crop isolates the first person; the strike and prosecution match the entry."
Frank Augusto,frank-augusto,1928-01-01,frank-augusto-chrono2026b.png,https://revolutionsnewsstand.com/2025/04/27/seven-hundred-strikers-on-trial-by-amy-schechter-from-labor-defender-vol-3-no-11-november-1928/,"Original printed caption explicitly identifies Frank Augusto, age 62, New Bedford textile worker beaten by police and sentenced to four months, matching the entry."
Harry Canter,harry-canter,1928-01-01,harry-canter-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1929/v04n07-jul-1929-LD.pdf,"Printed caption identifies Harry Canter serving one year for criminal libel; adjoining article explains his imprisonment for denouncing Governor Fuller over Sacco and Vanzetti, matching the entry."
Steve Mendola,steve-mendola,1928-01-01,steve-mendola-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1928/apr-1928-LD.pdf,"Caption names Steve Mendola, the third defendant, and his young wife. The groom at right is isolated using a rectangular crop."
William Murdoch,william-murdoch,1928-01-01,william-murdoch-chrono2026b.png,https://revolutionsnewsstand.com/2025/04/27/seven-hundred-strikers-on-trial-by-amy-schechter-from-labor-defender-vol-3-no-11-november-1928/,"The source caption identifies the four New Bedford strike leaders left to right as Eli Keller, Wm. Murdoch, Eulalia Mendes and Fred Beal. This crop isolates the second person; the strike and prosecution match the entry."
Pat Toohey,pat-toohey,1928-03-01,pat-toohey-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n01-jan-1930-LD.pdf,"Caption explicitly identifies the circular portrait as Pat Toohey, National Miners Union secretary-treasurer. This clearer portrait replaces the smaller April 1928 image for the same selected person."
Sam Bonita,sam-bonita,1928-04-01,sam-bonita-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1928/apr-1928-LD.pdf,Individually captioned Sam Bonita; the article describes his imprisonment in the Frank Agati murder case.
Rebecca Grecht,rebecca-grecht,1928-07-03,rebecca-grecht-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1928/apr-1928-LD.pdf,"Portrait is labeled Rebecca Grecht. Text identifies the New York millinery union activist arrested in Pennsylvania in March 1928, consistent with the Workers Party organizer prosecuted again in July 1928."
William Shifrin,william-shifrin,1928-09-01,william-shifrin-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n02-feb-1930-ORIG-LD.pdf,"Printed caption names the back row left to right: George Carter, K. Y. Hendryx, Fred Beal and Wm. Shifrin. This crop isolates Shifrin at the far right, the New York union defendant."
Karl Reeve,karl-reeve,1928-12-01,karl-reeve-chrono2026b.png,https://revolutionsnewsstand.com/2023/02/28/who-are-the-gastonia-prisoners-from-labor-defender-vol-4-no-9-september-1929/,Original printed caption explicitly identifies Karl Reeve as the extreme right person in the back row. He is the Labor Defender editor named in the database entry.
George Carter,george-carter,1929-06-07,george-carter-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n04-apr-1930-LD.pdf,"Printed caption identifies standing figures left to right as Louis McLaughlin, George Carter, Fred Beal and Clarence Miller. This is second from left, George Carter. Corroborated by the named lineup in Fred Beal’s Proletarian Journey, plate facing page 180."
Robert Allen,robert-allen,1929-06-07,robert-allen-chrono2026b.png,https://revolutionsnewsstand.com/2023/02/28/who-are-the-gastonia-prisoners-from-labor-defender-vol-4-no-9-september-1929/,"Original caption identifies Robt. Allen as first on left seated, charged with murder, matching the Gastonia prisoner entry."
Charlie Mammen,charlie-mammen,1929-12-09,charlie-mammen-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n02-feb-1930-ORIG-LD.pdf,"Original caption names the three men left to right as Dan Slinger of Eldorado, John Lapshansky of Nokomis, and Charlie Mammen of Taylorville. This crop isolates the right man. The caption and article describe the matching strike arrests."
Dan Slinger,dan-slinger,1929-12-09,dan-slinger-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n02-feb-1930-ORIG-LD.pdf,"Original caption names the three men left to right as Dan Slinger of Eldorado, John Lapshansky of Nokomis, and Charlie Mammen of Taylorville. This crop isolates the left man. The caption and article describe the matching strike arrests."
George Voyzey,george-voyzey,1929-12-09,george-voyzey-chrono2026b.jpg,https://sangamoncountyhistory.org/george-voyzey-union-radical/,"Historical Society caption names George Voyzey and dates the photograph to the 1923 Pittsburgh convention. Article identifies him as Illinois president of the National Miners Union, matching the entry."
John Lapshansky,john-lapshansky,1929-12-09,john-lapshansky-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n02-feb-1930-ORIG-LD.pdf,"Original caption names the three men left to right as Dan Slinger of Eldorado, John Lapshansky of Nokomis, and Charlie Mammen of Taylorville. This crop isolates the center man. The caption and article describe the matching strike arrests."
Andrew Turner,andrew-turner,1930-01-01,andrew-turner-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n03-mar-1930-LD.pdf,"Printed caption identifies Andrew Turner, militant worker of Chester, Pennsylvania, facing ten years on a manslaughter charge. The city, charge and case match the entry."
Angelo Cappelo,angelo-cappelo,1930-01-01,angelo-cappelo-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n05-may-1930-LD.pdf,"Original printed caption explicitly identifies each row left to right. Buffalo group: second row, fourth from left, Angelo Cappelo, sentenced to 100 days."
Anna Robbins,anna-robbins,1930-01-01,anna-robbins-chrono2026b.png,https://www.marxists.org/history/usa/pubs/dailyworker/1930/v06-n334-NY-apr-02-1930-DW-LOC.pdf,"Printed caption names both rows: top Mike Mughiti, Julia Wilde, Sam Berman, Arvid Owens; bottom Sonia Baltrun, Anna Robbins, Bessie Herman. This crop is second in bottom row. Name variants Berman/Barman and Baltrun/Baltruin match the same Oakland City Hall defendant group. Source dates the demonstration December 27; the database groups the case under 1930."
Arvid Owens,arvid-owens,1930-01-01,arvid-owens-chrono2026b.png,https://www.marxists.org/history/usa/pubs/dailyworker/1930/v06-n334-NY-apr-02-1930-DW-LOC.pdf,"Printed caption names both rows: top Mike Mughiti, Julia Wilde, Sam Berman, Arvid Owens; bottom Sonia Baltrun, Anna Robbins, Bessie Herman. This crop is fourth in top row. Name variants Berman/Barman and Baltrun/Baltruin match the same Oakland City Hall defendant group. Source dates the demonstration December 27; the database groups the case under 1930."
Bessie Herman,bessie-herman,1930-01-01,bessie-herman-chrono2026b.png,https://www.marxists.org/history/usa/pubs/dailyworker/1930/v06-n334-NY-apr-02-1930-DW-LOC.pdf,"Printed caption names both rows: top Mike Mughiti, Julia Wilde, Sam Berman, Arvid Owens; bottom Sonia Baltrun, Anna Robbins, Bessie Herman. This crop is third in bottom row. Name variants Berman/Barman and Baltrun/Baltruin match the same Oakland City Hall defendant group. Source dates the demonstration December 27; the database groups the case under 1930."
Cliff Saylors,cliff-saylors,1930-01-01,cliff-saylors-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n01-jan-1930-LD.pdf,"Printed caption identifies the left inset as Cliff Saylors. The adjacent article describes the ILD organizer’s arrest on the Gastonia murder charge, matching the entry."
Dewey Martin,dewey-martin,1930-01-01,dewey-martin-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n04-apr-1930-LD.pdf,"Individual portrait is labeled Dewey Martin, NTWU organizer sentenced to seven months. The article describes the Marion, North Carolina labor prosecutions and chain-gang sentences matching the entries."
Fred Shearer,fred-shearer,1930-01-01,fred-shearer-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n05-may-1930-LD.pdf,"Original printed caption explicitly identifies each row left to right. Buffalo group: second row, third from left, Fred Shearer, sentenced to 150 days."
George Saul,george-saul,1930-01-01,george-saul-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n04-apr-1930-LD.pdf,"Individual portrait is labeled George Saul. The article describes the Marion, North Carolina labor prosecutions and chain-gang sentences matching the entries."
